"","breed","outcome_subtype","outcome_type","sex","Spay.Neuter","age.at.outcome","age_group","dob_year","dob_month","dob_monthyear","outcome_month","outcome_year","outcome_weekday","outcome_hour","cfa_breed","domestic_breed","coat_pattern","color1","color2","coat","is.kitten","adopted"
"10708","domestic shorthair","","Adoption","Male",TRUE,1,"(-0.022, 2.2]",2015,12,"2017-01","1",2017,"Sunday",18,FALSE,TRUE,"solid","black","white","black",FALSE,TRUE
"10709","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2014,9,"2015-09","9",2015,"Tuesday",19,FALSE,TRUE,"calico","other","","calico",FALSE,TRUE
"10710","domestic shorthair","","Adoption","Female",FALSE,0.164383562,"(-0.022, 2.2]",2015,5,"2015-07","7",2015,"Friday",12,FALSE,TRUE,"torbie","other","","torbie",TRUE,TRUE
"10711","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,10,"2017-12","12",2017,"Thursday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10712","domestic shorthair","Foster","Adoption","Male",FALSE,0.164383562,"(-0.022, 2.2]",2015,4,"2015-06","6",2015,"Tuesday",9,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10713","snowshoe","","Adoption","Male",TRUE,3,"(2.2, 4.4]",2012,4,"2015-05","5",2015,"Saturday",14,FALSE,TRUE,"point","other","","lynx",FALSE,TRUE
"10714","domestic shorthair","","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2015,5,"2015-08","8",2015,"Saturday",16,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10715","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,3,"2017-05","5",2017,"Sunday",16,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10716","domestic shorthair","Foster","Adoption","Female",TRUE,0.082191781,"(-0.022, 2.2]",2017,4,"2017-06","6",2017,"Thursday",17,FALSE,TRUE,"tabby","blue","","blue",TRUE,TRUE
"10717","domestic shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,6,"2017-08","8",2017,"Tuesday",15,FALSE,TRUE,"solid","blue","white","blue",TRUE,TRUE
"10718","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2017,3,"2017-06","6",2017,"Friday",12,FALSE,TRUE,"tabby","white","brown","white",TRUE,TRUE
"10719","domestic shorthair","Foster","Adoption","Female",TRUE,0.082191781,"(-0.022, 2.2]",2017,6,"2017-08","8",2017,"Saturday",15,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10720","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,3,"2015-05","5",2015,"Friday",18,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10721","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,1,"2017-03","3",2017,"Monday",13,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
